year,pop,lifeExp,gdpPercap,continent,country
1952,8425333.0,28.801,779.4453145,Asia,Afghanistan
1957,9240934.0,30.331999999999997,820.8530296,Asia,Afghanistan
1962,10267083.0,31.997,853.1007099999999,Asia,Afghanistan
1967,11537966.0,34.02,836.1971382,Asia,Afghanistan
1972,13079460.0,36.088,739.9811057999999,Asia,Afghanistan
1977,14880372.0,38.438,786.11336,Asia,Afghanistan
1982,12881816.0,39.854,978.0114388000001,Asia,Afghanistan
1987,13867957.0,40.821999999999996,852.3959447999999,Asia,Afghanistan
1992,16317921.0,41.674,649.3413952000001,Asia,Afghanistan
1997,22227415.0,41.763000000000005,635.341351,Asia,Afghanistan
2002,25268405.0,42.129,726.7340548,Asia,Afghanistan
2007,31889923.0,43.828,974.5803384,Asia,Afghanistan
1952,1282697.0,55.23,1601.056136,Europe,Albania
1957,1476505.0,59.28,1942.2842440000002,Europe,Albania
1962,1728137.0,64.82,2312.888958,Europe,Albania
1967,1984060.0,66.22,2760.196931,Europe,Albania
1972,2263554.0,67.69,3313.422188,Europe,Albania
1977,2509048.0,68.93,3533.0039100000004,Europe,Albania
1982,2780097.0,70.42,3630.880722,Europe,Albania
1987,3075321.0,72.0,3738.9327350000003,Europe,Albania
1992,3326498.0,71.581,2497.4379010000002,Europe,Albania
1997,3428038.0,72.95,3193.054604,Europe,Albania
2002,3508512.0,75.65100000000001,4604.211737,Europe,Albania
2007,3600523.0,76.423,5937.029525999999,Europe,Albania
1952,9279525.0,43.077,2449.008185,Africa,Algeria
1957,10270856.0,45.685,3013.976023,Africa,Algeria
1962,11000948.0,48.303000000000004,2550.81688,Africa,Algeria
1967,12760499.0,51.407,3246.991771,Africa,Algeria
1972,14760787.0,54.518,4182.663766,Africa,Algeria
1977,17152804.0,58.013999999999996,4910.4167560000005,Africa,Algeria
1982,20033753.0,61.368,5745.160213,Africa,Algeria
1987,23254956.0,65.79899999999999,5681.358539,Africa,Algeria
1992,26298373.0,67.744,5023.216647,Africa,Algeria
1997,29072015.0,69.152,4797.295051,Africa,Algeria
2002,31287142.0,70.994,5288.040382,Africa,Algeria
2007,33333216.0,72.301,6223.367465,Africa,Algeria
1952,4232095.0,30.015,3520.610273,Africa,Angola
1957,4561361.0,31.999000000000002,3827.9404649999997,Africa,Angola
1962,4826015.0,34.0,4269.276742,Africa,Angola
1967,5247469.0,35.985,5522.776375,Africa,Angola
1972,5894858.0,37.928000000000004,5473.288004999999,Africa,Angola
1977,6162675.0,39.483000000000004,3008.647355,Africa,Angola
1982,7016384.0,39.942,2756.953672,Africa,Angola
1987,7874230.0,39.906,2430.208311,Africa,Angola
1992,8735988.0,40.647,2627.8456850000002,Africa,Angola
1997,9875024.0,40.963,2277.140884,Africa,Angola
2002,10866106.0,41.003,2773.287312,Africa,Angola
2007,12420476.0,42.731,4797.231267,Africa,Angola
1952,17876956.0,62.485,5911.315053,Americas,Argentina
1957,19610538.0,64.399,6856.856212000001,Americas,Argentina
1962,21283783.0,65.142,7133.166023000001,Americas,Argentina
1967,22934225.0,65.634,8052.953020999999,Americas,Argentina
1972,24779799.0,67.065,9443.038526,Americas,Argentina
1977,26983828.0,68.48100000000001,10079.026740000001,Americas,Argentina
1982,29341374.0,69.942,8997.897412,Americas,Argentina
1987,31620918.0,70.774,9139.671389,Americas,Argentina
1992,33958947.0,71.868,9308.41871,Americas,Argentina
1997,36203463.0,73.275,10967.28195,Americas,Argentina
2002,38331121.0,74.34,8797.640716,Americas,Argentina
2007,40301927.0,75.32,12779.379640000001,Americas,Argentina
1952,8691212.0,69.12,10039.595640000001,Oceania,Australia
1957,9712569.0,70.33,10949.64959,Oceania,Australia
1962,10794968.0,70.93,12217.226859999999,Oceania,Australia
1967,11872264.0,71.1,14526.12465,Oceania,Australia
1972,13177000.0,71.93,16788.62948,Oceania,Australia
1977,14074100.0,73.49,18334.197509999998,Oceania,Australia
1982,15184200.0,74.74,19477.009280000002,Oceania,Australia
1987,16257249.0,76.32,21888.889030000002,Oceania,Australia
1992,17481977.0,77.56,23424.76683,Oceania,Australia
1997,18565243.0,78.83,26997.936569999998,Oceania,Australia
2002,19546792.0,80.37,30687.75473,Oceania,Australia
2007,20434176.0,81.235,34435.367439999995,Oceania,Australia
1952,6927772.0,66.8,6137.076492,Europe,Austria
1957,6965860.0,67.48,8842.59803,Europe,Austria
1962,7129864.0,69.54,10750.721109999999,Europe,Austria
1967,7376998.0,70.14,12834.6024,Europe,Austria
1972,7544201.0,70.63,16661.6256,Europe,Austria
1977,7568430.0,72.17,19749.4223,Europe,Austria
1982,7574613.0,73.18,21597.083619999998,Europe,Austria
1987,7578903.0,74.94,23687.82607,Europe,Austria
1992,7914969.0,76.04,27042.01868,Europe,Austria
1997,8069876.0,77.51,29095.920660000003,Europe,Austria
2002,8148312.0,78.98,32417.607689999997,Europe,Austria
2007,8199783.0,79.829,36126.4927,Europe,Austria
1952,120447.0,50.93899999999999,9867.084765000001,Asia,Bahrain
1957,138655.0,53.832,11635.79945,Asia,Bahrain
1962,171863.0,56.923,12753.27514,Asia,Bahrain
1967,202182.0,59.923,14804.6727,Asia,Bahrain
1972,230800.0,63.3,18268.65839,Asia,Bahrain
1977,297410.0,65.593,19340.10196,Asia,Bahrain
1982,377967.0,69.05199999999999,19211.14731,Asia,Bahrain
1987,454612.0,70.75,18524.02406,Asia,Bahrain
1992,529491.0,72.601,19035.579169999997,Asia,Bahrain
1997,598561.0,73.925,20292.01679,Asia,Bahrain
2002,656397.0,74.795,23403.559269999998,Asia,Bahrain
2007,708573.0,75.635,29796.048339999998,Asia,Bahrain
1952,46886859.0,37.484,684.2441716,Asia,Bangladesh
1957,51365468.0,39.348,661.6374577,Asia,Bangladesh
1962,56839289.0,41.216,686.3415537999999,Asia,Bangladesh
1967,62821884.0,43.453,721.1860862000001,Asia,Bangladesh
1972,70759295.0,45.251999999999995,630.2336265,Asia,Bangladesh
1977,80428306.0,46.923,659.8772322000001,Asia,Bangladesh
1982,93074406.0,50.00899999999999,676.9818656,Asia,Bangladesh
1987,103764241.0,52.818999999999996,751.9794035,Asia,Bangladesh
1992,113704579.0,56.018,837.8101642999999,Asia,Bangladesh
1997,123315288.0,59.412,972.7700352,Asia,Bangladesh
2002,135656790.0,62.013000000000005,1136.3904300000002,Asia,Bangladesh
2007,150448339.0,64.062,1391.253792,Asia,Bangladesh
1952,8730405.0,68.0,8343.105126999999,Europe,Belgium
1957,8989111.0,69.24,9714.960623,Europe,Belgium
1962,9218400.0,70.25,10991.20676,Europe,Belgium
1967,9556500.0,70.94,13149.04119,Europe,Belgium
1972,9709100.0,71.44,16672.14356,Europe,Belgium
1977,9821800.0,72.8,19117.97448,Europe,Belgium
1982,9856303.0,73.93,20979.84589,Europe,Belgium
1987,9870200.0,75.35,22525.56308,Europe,Belgium
1992,10045622.0,76.46,25575.57069,Europe,Belgium
1997,10199787.0,77.53,27561.196630000002,Europe,Belgium
2002,10311970.0,78.32,30485.88375,Europe,Belgium
2007,10392226.0,79.441,33692.60508,Europe,Belgium
1952,1738315.0,38.223,1062.7522,Africa,Benin
1957,1925173.0,40.358000000000004,959.6010805,Africa,Benin
1962,2151895.0,42.618,949.4990641,Africa,Benin
1967,2427334.0,44.885,1035.831411,Africa,Benin
1972,2761407.0,47.013999999999996,1085.796879,Africa,Benin
1977,3168267.0,49.19,1029.161251,Africa,Benin
1982,3641603.0,50.903999999999996,1277.897616,Africa,Benin
1987,4243788.0,52.336999999999996,1225.85601,Africa,Benin
1992,4981671.0,53.919,1191.207681,Africa,Benin
1997,6066080.0,54.777,1232.975292,Africa,Benin
2002,7026113.0,54.406000000000006,1372.877931,Africa,Benin
2007,8078314.0,56.728,1441.284873,Africa,Benin
1952,2883315.0,40.414,2677.3263469999997,Americas,Bolivia
1957,3211738.0,41.89,2127.686326,Americas,Bolivia
1962,3593918.0,43.428000000000004,2180.972546,Americas,Bolivia
1967,4040665.0,45.032,2586.886053,Americas,Bolivia
1972,4565872.0,46.714,2980.331339,Americas,Bolivia
1977,5079716.0,50.023,3548.097832,Americas,Bolivia
1982,5642224.0,53.858999999999995,3156.510452,Americas,Bolivia
1987,6156369.0,57.251000000000005,2753.6914899999997,Americas,Bolivia
1992,6893451.0,59.957,2961.699694,Americas,Bolivia
1997,7693188.0,62.05,3326.143191,Americas,Bolivia
2002,8445134.0,63.883,3413.26269,Americas,Bolivia
2007,9119152.0,65.554,3822.1370840000004,Americas,Bolivia
1952,2791000.0,53.82,973.5331947999999,Europe,Bosnia and Herzegovina
1957,3076000.0,58.45,1353.989176,Europe,Bosnia and Herzegovina
1962,3349000.0,61.93,1709.683679,Europe,Bosnia and Herzegovina
1967,3585000.0,64.79,2172.3524230000003,Europe,Bosnia and Herzegovina
1972,3819000.0,67.45,2860.16975,Europe,Bosnia and Herzegovina
1977,4086000.0,69.86,3528.481305,Europe,Bosnia and Herzegovina
1982,4172693.0,70.69,4126.613157,Europe,Bosnia and Herzegovina
1987,4338977.0,71.14,4314.114757,Europe,Bosnia and Herzegovina
1992,4256013.0,72.178,2546.781445,Europe,Bosnia and Herzegovina
1997,3607000.0,73.244,4766.355904,Europe,Bosnia and Herzegovina
2002,4165416.0,74.09,6018.975239,Europe,Bosnia and Herzegovina
2007,4552198.0,74.852,7446.298803,Europe,Bosnia and Herzegovina
1952,442308.0,47.622,851.2411407,Africa,Botswana
1957,474639.0,49.618,918.2325348999999,Africa,Botswana
1962,512764.0,51.52,983.6539764,Africa,Botswana
1967,553541.0,53.298,1214.709294,Africa,Botswana
1972,619351.0,56.023999999999994,2263.6111140000003,Africa,Botswana
1977,781472.0,59.318999999999996,3214.857818,Africa,Botswana
1982,970347.0,61.483999999999995,4551.14215,Africa,Botswana
1987,1151184.0,63.622,6205.88385,Africa,Botswana
1992,1342614.0,62.745,7954.111645,Africa,Botswana
1997,1536536.0,52.556000000000004,8647.142313,Africa,Botswana
2002,1630347.0,46.63399999999999,11003.60508,Africa,Botswana
2007,1639131.0,50.728,12569.851770000001,Africa,Botswana
1952,56602560.0,50.917,2108.944355,Americas,Brazil
1957,65551171.0,53.285,2487.365989,Americas,Brazil
1962,76039390.0,55.665,3336.585802,Americas,Brazil
1967,88049823.0,57.632,3429.864357,Americas,Brazil
1972,100840058.0,59.504,4985.711467,Americas,Brazil
1977,114313951.0,61.489,6660.118654,Americas,Brazil
1982,128962939.0,63.336000000000006,7030.835878,Americas,Brazil
1987,142938076.0,65.205,7807.095818000001,Americas,Brazil
1992,155975974.0,67.057,6950.283020999999,Americas,Brazil
1997,168546719.0,69.388,7957.980823999999,Americas,Brazil
2002,179914212.0,71.006,8131.212843000001,Americas,Brazil
2007,190010647.0,72.39,9065.800825,Americas,Brazil
1952,7274900.0,59.6,2444.2866480000002,Europe,Bulgaria
